2015-03-08 12:51:08,822 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:51:10,529 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:51:10,529 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:51:10,588 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:51:11,395 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:51:11,446 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 12:51:11,454 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 12:51:11,466 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:51:11,466 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191Ww8zkx_g1p__soBBM1JH53xgE48= started
2015-03-08 12:51:24,478 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:51:24,522 INFO  [Plumbr thread - 16] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 37085
2015-03-08 12:57:29,062 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:57:29,666 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:57:29,666 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:57:29,733 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:57:30,650 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:57:30,696 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 12:57:30,703 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 12:57:30,715 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191VpVIGDRG3H_877XnZPPOF8KuGQw= started
2015-03-08 12:57:30,715 INFO  [Plumbr thread - 4] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 12:57:41,726 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 12:57:41,735 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 16937
2015-03-08 12:58:06,848 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 12:58:07,444 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 12:58:07,444 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 12:58:07,509 INFO  [main] eu.plumbr.agent.bYG - Main class: org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader
2015-03-08 12:58:08,445 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 12:58:08,510 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
